Not_grabbed	Grabbed
2485.0	209.0
2522.0	195.0
2361.0	218.0
2610.0	204.0
2381.0	210.0
2478.0	221.0
2603.0	225.0
2498.0	184.0
2609.0	212.0
2494.0	228.0
2592.0	190.0
2368.0	181.0
2482.0	197.0
2497.0	218.0
2358.0	226.0
2600.0	2784.0
2476.0	177.0
2520.0	214.0
2554.0	228.0
2682.0	169.0
2429.0	216.0
2567.0	200.0
2651.0	168.0
2407.0	202.0
2625.0	177.0
2586.0	216.0
2477.0	210.0
2505.0	194.0
2429.0	236.0
2515.0	203.0
