Not_grabbed	Grabbed
30.75	7.9
25.05	9.85
34.9	9.1
34.35	8.55
40.2	9.0
30.8	8.5
29.05	8.85
26.8	9.1
31.25	7.85
26.8	9.0
30.4	8.85
34.6	8.7
38.85	9.7
31.1	8.3
36.45	8.2
30.5	9.2
30.6	8.15
29.65	7.25
29.75	9.4
26.1	10.0
36.1	8.7
30.75	8.6
31.5	7.65
25.75	8.85
40.4	8.0
33.15	7.95
38.95	8.75
34.65	9.05
30.45	8.2
27.4	8.5
