Not_grabbed	Grabbed
42.8	8.3
40.45	9.3
40.55	8.4
43.25	8.6
26.9	9.15
33.0	8.7
35.55	8.25
30.8	9.25
36.0	8.6
37.6	8.8
38.4	9.1
47.3	9.55
41.65	8.55
33.45	8.65
34.65	8.2
37.05	11.55
48.3	10.3
36.4	8.1
34.7	8.15
38.35	9.3
41.05	9.05
40.65	8.9
36.7	9.75
36.25	9.65
33.25	9.15
35.15	8.25
37.6	9.15
48.85	9.1
38.7	9.1
37.35	8.9
