"Not_grabbed	Grabbed"
2641.0	186.0
2555.0	216.0
2483.0	199.0
2585.0	187.0
2527.0	203.0
2658.0	235.0
2568.0	214.0
2406.0	205.0
2504.0	202.0
2449.0	179.0
2607.0	227.0
2638.0	184.0
2378.0	228.0
2234.0	206.0
2303.0	202.0
2384.0	236.0
2513.0	217.0
2495.0	189.0
2273.0	206.0
2676.0	202.0
2433.0	201.0
2400.0	188.0
2403.0	194.0
2530.0	198.0
2599.0	225.0
2444.0	198.0
2522.0	201.0
2726.0	214.0
2575.0	245.0
2491.0	190.0
